,adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource
135445,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2011,80.75,MOFA
135446,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2011,82.0,MOFA
135447,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,8,2011,88.3333,MOFA
135448,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,9,2011,71.0,MOFA
135449,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2011,64.5,MOFA
135450,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2011,70.25,MOFA
135451,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2011,89.8,MOFA
135452,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2012,102.25,MOFA
135453,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2012,98.25,MOFA
135454,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2012,116.5,MOFA
135455,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2012,114.25,MOFA
135456,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,8,2012,114.5,MOFA
135457,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,9,2012,97.5,MOFA
135458,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2012,87.75,MOFA
135459,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2012,85.5,MOFA
135460,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2012,86.0,MOFA
135461,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2013,84.5,MOFA
135462,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2013,85.5,MOFA
135463,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,3,2013,84.75,MOFA
135464,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,4,2013,82.0,MOFA
135465,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2013,80.0,MOFA
135466,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2013,81.0,MOFA
135467,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2013,77.5,MOFA
135468,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,8,2013,78.6,MOFA
135469,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,9,2013,79.0,MOFA
135470,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2013,79.5,MOFA
135471,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2013,80.25,MOFA
135472,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2013,85.5,MOFA
135473,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2014,89.2,MOFA
135474,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2014,95.5,MOFA
135475,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,3,2014,102.0,MOFA
135476,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,4,2014,103.25,MOFA
135477,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2014,109.2,MOFA
135478,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2014,109.25,MOFA
135479,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2014,109.25,MOFA
135480,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,8,2014,128.5,MOFA
135481,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,9,2014,128.5,MOFA
135482,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2014,128.5,MOFA
135483,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2014,114.0,MOFA
135484,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2014,114.0,MOFA
135485,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2015,127.0,MOFA
135486,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2015,129.0,MOFA
135487,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,3,2015,130.0,MOFA
135488,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,4,2015,138.5,MOFA
135489,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2015,146.0,MOFA
135490,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2015,165.0,MOFA
135491,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2015,185.0,MOFA
135492,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2015,147.0,MOFA
135493,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2015,155.0,MOFA
135494,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2015,162.5,MOFA
135495,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2016,170.0,MOFA
135496,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2016,173.75,MOFA
135497,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,3,2016,176.25,MOFA
135498,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,4,2016,182.0,MOFA
135499,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2016,190.0,MOFA
135500,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2016,190.0,MOFA
135501,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,7,2016,190.0,MOFA
135502,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,8,2016,185.0,MOFA
135503,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,9,2016,180.0,MOFA
135504,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,10,2016,124.0,MOFA
135505,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,11,2016,105.0,MOFA
135506,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,12,2016,120.0,MOFA
135507,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,1,2017,120.0,MOFA
135508,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,2,2017,140.0,MOFA
135509,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,3,2017,140.0,MOFA
135510,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,4,2017,150.0,MOFA
135511,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,5,2017,150.0,MOFA
135512,94,Ghana,1328,Greater Accra,209,Accra,51,Maize,35,GHS,14,Wholesale,9,100 KG,6,2017,165.0,MOFA
135513,94,Ghana,1328,Greater Accra,209,Accra,64,Rice (imported),35,GHS,14,Wholesale,22,50 KG,4,2014,183.5,MOFA
135514,94,Ghana,1328,Greater Accra,209,Accra,64,Rice (imported),35,GHS,14,Wholesale,22,50 KG,5,2014,173.6,MOFA
